what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1486153351915
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1486153352411
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1486153359083
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1486153361015
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1486153361374
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486153368701
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486153372701
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1486153375049
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486153375116
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486153375146
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1486153375158
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486153377805
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486153390091
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486153391933
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1486153395164
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1486153395589
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486153399306
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486153400509
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486153402128
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1486153405008
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486153405084
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1486153405095
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486153433956
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1486153448810
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486153448817
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486153451383
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486153460815
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486153466207
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1486153469291
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486153469942
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1486153471634
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486153483140
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1486153485403
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486153485910
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1486153487145
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1486153487577
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486153492040
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486153493025
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486153493874
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486153519465
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486153520349
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486153521000
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486153521334
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486153530086
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1486153533261
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486153533336
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1486153533346
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486153550486
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1486153552775
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1486153555233
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486153563629
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486153564314
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486153564729
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486153573016
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1486153582223
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1486153583598
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486153594390
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486153597658
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1486153600161
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486153604380
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486153617128
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486153617667
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486153618441
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486153621973
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1486153624931
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1486153626309
