what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1486320280517
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1486320280526
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1486320280527
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1486320280531
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1486320280535
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1486320280547
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1486320280548
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1486320280561
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1486320280561
started,bundle,com.altera.sbtgui.integration,12.1.1.243,"com.altera.sbtgui.integration",1486320280562
started,bundle,com.altera.sbtgui.project,12.1.1.243,"com.altera.sbtgui.project",1486320280563
started,bundle,com.altera.systemconsole,12.1.1.243,"com.altera.systemconsole",1486320280564
started,bundle,com.altera.systemconsole.designs.plugin,12.1.1.243,"com.altera.systemconsole.designs.plugin",1486320280564
started,bundle,com.altera.systemconsole.scripting,12.1.1.243,"com.altera.systemconsole.scripting",1486320280564
started,bundle,com.altera.utilities,12.1.1.243,"com.altera.utilities",1486320280565
os,sysinfo,,,"linux",1486320280568
arch,sysinfo,,,"x86",1486320280568
ws,sysinfo,,,"gtk",1486320280568
locale,sysinfo,,,"en_US",1486320280568
processors,sysinfo,,,"8",1486320280568
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1486320280568
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1486320280568
java.specification.name,sysinfo,,,"Java Platform API Specification",1486320280568
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1486320280568
java.specification.version,sysinfo,,,"1.6",1486320280568
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1486320280568
java.version,sysinfo,,,"1.6.0_23",1486320280568
java.vm.info,sysinfo,,,"mixed mode",1486320280568
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1486320280568
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1486320280568
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1486320280568
java.vm.specification.version,sysinfo,,,"1.0",1486320280568
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1486320280568
java.vm.version,sysinfo,,,"19.0-b09",1486320280568
started,bundle,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch",1486320280815
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1486320281844
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1486320281857
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1486320281867
started,bundle,com.altera.sbtgui.core,12.1.1.243,"com.altera.sbtgui.core",1486320283699
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1486320283799
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1486320283803
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1486320284129
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1486320284186
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1486320284268
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1486320286483
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486320286962
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486320287378
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.200.v20110928-1505,"org.eclipse.ui.views.properties.tabbed",1486320294163
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1486320294238
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1486320294254
